FECHA,LOTE,DENOMINACIÓN/     MARCA,CANTIDAD,%H,MALLAS,VERIFICACIÓN FISICA CAFÉ TOSTADO,NOTAS DE CATACIÓN,PUNTAJE,LIBERACIÓN DE LOTE,RESPONSABLE,VARIEDAD_ESTANDAR,PROCESO,ORIGEN,TIEMPO_TUESTE_MEDIAN,BENEFICIO
14-5-24,02-140524,Madre Laura Natural,175.0,10.8,14,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
17-6-24 ,01-170624 ,Madre Laura,266.0,10.6,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
17-6-24 ,22-170624 ,El Ocaso - Caturron,48.0,10.3,15,C,"Chocolate dulce, nuez moscada, acidez jugosa, cuerpo cremoso y final frutal a durazno",87,Si,LFQ,Otros,,NAN,492.0,
2024-03-07 00:00:00,01-030724,Madre Laura,250.0,10.4,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
15-07-24 ,23-150724 ,Esteban Robledo,60.0,10.6,14,C,"Panela, almendras, acidez citrica jugosa como la mandrina, cuerpo sedoso y final limpio ",85,Si ,LFQ,Otros,,NAN,492.0,
15-07-24 ,02-150724 ,Madre Laura Natural,175.0,10.8,14,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
27-7-24,17-270724,Familia Bedoya Castaño,35.0,10.8,14,C,"Melao de panela, arandanos, cuerpo cremoso, acidez brillante citrica, residual a cascara de mandarina ",87,Si,LFQ,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
,,,,,,,,,,,Otros,,NAN,492.0,
